Product code,Product label,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
'0501,"Human hair, unworked, whether or not washed or scoured; waste of human hair",194039.0,114039.0,108275.0,103969.0,67546.0,86512.0,83102.0,78809.0,67938.0,79159.0,206629.0
'0502,"Pigs', hogs' or boars' bristles and hair; badger hair and other brush making hair; waste of ...",145987.0,132286.0,134940.0,147832.0,166555.0,180714.0,208663.0,201807.0,219288.0,98017.0,96974.0
'0504,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, ...",4598091.0,4760067.0,4710530.0,4974504.0,4256940.0,4148127.0,5092854.0,5671798.0,5197865.0,4731940.0,4993702.0
'0505,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ...",1544401.0,1872534.0,2549057.0,2459410.0,1443814.0,1219893.0,1517772.0,1970037.0,2049146.0,1351315.0,1810750.0
'0506,"Bones and horn-cores and their powder and waste, unworked, defatted, simply prepared, treated ...",254654.0,301676.0,370518.0,380383.0,395580.0,355630.0,370116.0,284618.0,288733.0,296939.0,326801.0
'0507,"Ivory, tortoiseshell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and ...",97083.0,95812.0,106221.0,133932.0,157226.0,125308.0,171411.0,159217.0,138277.0,132652.0,161474.0
'0508,"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ...",179521.0,171571.0,181191.0,185702.0,190017.0,172899.0,158389.0,162153.0,165664.0,142611.0,163158.0
'0510,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other ...",182025.0,171284.0,184477.0,174731.0,165089.0,159543.0,189126.0,245874.0,252698.0,303086.0,299198.0
'0511,"Animal products n.e.s.; dead animals of all types, unfit for human consumption",1794828.0,1859531.0,2086063.0,2133646.0,2013934.0,2050064.0,2316767.0,2519038.0,2632916.0,2852146.0,3366835.0
'0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ...",1874030.0,1776299.0,1863760.0,1989730.0,1647322.0,1709256.0,1773003.0,1798670.0,1783452.0,1742411.0,2060308.0
'0602,"Live plants incl. their roots, cuttings and slips; mushroom spawn (excluding bulbs, tubers, ...",9070355.0,8717189.0,9122880.0,9401519.0,8019930.0,8407863.0,9127956.0,10137644.0,10091536.0,10711840.0,13054918.0
'0603,"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, ...",9082426.0,8770213.0,9184386.0,9321499.0,7969977.0,8220184.0,8451375.0,9002048.0,9048192.0,8660796.0,11057585.0
'0604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses ...",1385347.0,1290913.0,1281554.0,1172147.0,1093237.0,1161638.0,1250787.0,1316528.0,1359832.0,1275889.0,1663174.0
'0701,"Potatoes, fresh or chilled",4700890.0,3705050.0,4746265.0,4332336.0,3692962.0,3998563.0,4341908.0,4371915.0,5162035.0,4419034.0,4443058.0
'0702,"Tomatoes, fresh or chilled",8701224.0,8358485.0,8958478.0,9413550.0,8565421.0,8712480.0,9047368.0,9534336.0,9377964.0,10233981.0,10989273.0
'0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled",6369074.0,5003322.0,6081814.0,5496594.0,6140178.0,7311309.0,6720905.0,6039776.0,7434913.0,7557468.0,7545841.0
'0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled",2430618.0,2271988.0,2629611.0,2720057.0,2744144.0,2856030.0,3046946.0,3210073.0,3571945.0,3582717.0,4071081.0
'0705,"""Lettuce """"Lactuca sativa"""" and chicory """"Cichorium spp."""", fresh or chilled""",2187654.0,2388553.0,2553677.0,2457805.0,2464532.0,2435518.0,2693075.0,2843858.0,2962327.0,2948481.0,3341354.0
'0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ...",1705405.0,1626265.0,1860809.0,1746879.0,1763993.0,1799262.0,1753855.0,2089383.0,2070159.0,1942463.0,2210488.0
'0707,"Cucumbers and gherkins, fresh or chilled",2061347.0,2216672.0,2452860.0,2455298.0,2249510.0,2458794.0,2475380.0,2753960.0,2667786.0,2851908.0,3191601.0
'0708,"Leguminous vegetables, shelled or unshelled, fresh or chilled",1114060.0,1144454.0,1332155.0,1234734.0,1159372.0,1195506.0,1363128.0,1419614.0,1443018.0,1568468.0,1729741.0
