,period,reporterCode,flowCode,partnerCode,partner2Code,cmdCode,cifvalue,fobvalue,primaryValue
840,2022,792,X,0,0,7310,0.0,233633554.0,233633554.0
841,2022,792,X,0,0,7311,0.0,288369203.0,288369203.0
842,2022,792,X,0,0,7312,0.0,234539334.0,234539334.0
843,2022,792,X,0,0,7313,0.0,25114638.0,25114638.0
844,2022,792,X,0,0,7314,0.0,176259795.0,176259795.0
845,2022,792,X,0,0,7315,0.0,39413917.0,39413917.0
846,2022,792,X,0,0,7316,0.0,5065009.0,5065009.0
847,2022,792,X,0,0,7317,0.0,113026700.0,113026700.0
848,2022,792,X,0,0,7318,0.0,803915070.0,803915070.0
849,2022,792,X,0,0,7319,0.0,1203214.0,1203214.0
850,2022,792,X,0,0,7320,0.0,143227694.0,143227694.0
851,2022,792,X,0,0,7321,0.0,578499159.0,578499159.0
852,2022,792,X,0,0,7322,0.0,527701510.0,527701510.0
853,2022,792,X,0,0,7323,0.0,389753009.0,389753009.0
854,2022,792,X,0,0,7324,0.0,91785266.0,91785266.0
855,2022,792,X,0,0,7325,0.0,411584241.0,411584241.0
856,2022,792,X,0,0,7326,0.0,1185046169.0,1185046169.0
857,2022,792,X,0,0,7401,0.0,335052.0,335052.0
858,2022,792,X,0,0,7402,0.0,60258.0,60258.0
859,2022,792,X,0,0,7403,0.0,250731688.0,250731688.0
860,2022,792,X,0,0,7404,0.0,48201755.0,48201755.0
861,2022,792,X,0,0,7405,0.0,356434.0,356434.0
862,2022,792,X,0,0,7406,0.0,11612525.0,11612525.0
863,2022,792,X,0,0,7407,0.0,182017507.0,182017507.0
864,2022,792,X,0,0,7408,0.0,777284013.0,777284013.0
865,2022,792,X,0,0,7409,0.0,313597304.0,313597304.0
866,2022,792,X,0,0,7410,0.0,25428593.0,25428593.0
867,2022,792,X,0,0,7411,0.0,107141624.0,107141624.0
868,2022,792,X,0,0,7412,0.0,205083825.0,205083825.0
869,2022,792,X,0,0,7413,0.0,616339682.0,616339682.0
870,2022,792,X,0,0,7415,0.0,5241475.0,5241475.0
871,2022,792,X,0,0,7418,0.0,7559437.0,7559437.0
872,2022,792,X,0,0,7419,0.0,112306645.0,112306645.0
873,2022,792,X,0,0,7501,0.0,124624419.0,124624419.0
874,2022,792,X,0,0,7502,0.0,36937335.0,36937335.0
875,2022,792,X,0,0,7503,0.0,6464982.0,6464982.0
876,2022,792,X,0,0,7504,0.0,3936719.0,3936719.0
877,2022,792,X,0,0,7505,0.0,1076828.0,1076828.0
878,2022,792,X,0,0,7506,0.0,398804.0,398804.0
879,2022,792,X,0,0,7507,0.0,817532.0,817532.0
880,2022,792,X,0,0,7508,0.0,20351814.0,20351814.0
881,2022,792,X,0,0,7601,0.0,729176371.0,729176371.0
882,2022,792,X,0,0,7602,0.0,40199143.0,40199143.0
883,2022,792,X,0,0,7603,0.0,6964409.0,6964409.0
884,2022,792,X,0,0,7604,0.0,2383632032.0,2383632032.0
885,2022,792,X,0,0,7605,0.0,109614180.0,109614180.0
886,2022,792,X,0,0,7606,0.0,1255641517.0,1255641517.0
887,2022,792,X,0,0,7607,0.0,682393172.0,682393172.0
888,2022,792,X,0,0,7608,0.0,47747136.0,47747136.0
889,2022,792,X,0,0,7609,0.0,25921328.0,25921328.0
890,2022,792,X,0,0,7610,0.0,545106251.0,545106251.0
891,2022,792,X,0,0,7611,0.0,4775770.0,4775770.0
892,2022,792,X,0,0,7612,0.0,99681848.0,99681848.0
893,2022,792,X,0,0,7613,0.0,19635637.0,19635637.0
894,2022,792,X,0,0,7614,0.0,156018907.0,156018907.0
895,2022,792,X,0,0,7615,0.0,219960833.0,219960833.0
896,2022,792,X,0,0,7616,0.0,381623211.0,381623211.0
897,2022,792,X,0,0,7801,0.0,32019867.0,32019867.0
898,2022,792,X,0,0,7804,0.0,1183065.0,1183065.0
899,2022,792,X,0,0,7806,0.0,29248615.0,29248615.0
900,2022,792,X,0,0,7901,0.0,134290212.0,134290212.0
901,2022,792,X,0,0,7902,0.0,217035.0,217035.0
902,2022,792,X,0,0,7903,0.0,128887.0,128887.0
903,2022,792,X,0,0,7904,0.0,1659378.0,1659378.0
904,2022,792,X,0,0,7905,0.0,1962560.0,1962560.0
