Product code,Product label,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
'2913,"Halogenated, sulphonated, nitrated or nitrosated derivatives of cyclic polymers of aldehydes ...",1,12,10,28,1,2,1,11,4,0,0,21
'2914,"Ketones and quinones, whether or not with other oxygen function, and their halogenated, sulphonated, ...",10837,13079,16315,13863,14908,12647,20694,17910,17101,17227,24894,17551
'2915,"Saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; ...",31705,27028,40499,38830,24146,23650,29015,35165,43046,54759,167167,169974
'2916,"Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic acids, their anhydrides, halides, ...",5693,3915,3107,3818,3172,5759,12256,10748,21252,11296,32085,50502
'2917,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, ...",88300,56954,55996,59682,34641,35581,67045,54749,47039,71482,207016,228839
'2918,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and ...",3436,3564,4463,5467,3460,3098,4377,4602,6700,8226,32004,40270
'2919,"Phosphoric esters and their salts, incl. lactophosphates; their halogenated, sulphonated, nitrated ...",71,257,286,211,152,219,234,414,539,608,2138,1679
'2920,"Esters of other inorganic acids of non-metals and their salts; their halogenated, sulphonated, ...",2036,5191,7044,4051,4284,3412,2021,2479,2633,1728,1157,4152
'2921,Amine-function compounds,5138,5477,6605,7393,6384,5333,5421,5698,7107,8617,8934,18061
'2922,Oxygen-function amino-compounds,3213,2527,2781,3076,2396,1651,3610,2687,9776,7020,9784,12776
'2923,"Quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids, whether or ...",716,595,891,506,710,850,783,1013,1083,1292,2042,4657
'2924,Carboxyamide-function compounds; amide-function compounds of carbonic acid,24253,26124,22707,25932,17908,20160,20587,18465,15360,18058,26858,32741
'2925,"Carboxyimide-function compounds, incl. saccharin and its salts, and imine-function compounds",3304,1368,502,2376,2086,1518,1802,2147,5769,3857,4080,4463
'2926,Nitrile-function compounds,31178,33673,20396,17488,146,245,144,405,408,1288,873,1748
'2927,"Diazo-, azo- or azoxy-compounds",1118,294,664,407,199,160,92,47,328,919,789,921
'2928,Organic derivatives of hydrazine or of hydroxylamine,420,347,451,460,609,320,306,448,763,511,584,1171
'2929,Compounds with other nitrogen function (excluding amine-function compounds; oxygen-function ...,2412,4088,1529,1909,932,1789,4899,5395,4469,7127,22312,37930
'2930,Organo-sulphur compounds,1565,2537,2926,4371,2536,2308,2110,2827,4447,3656,5079,11059
'2931,Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ...,1032,1488,1933,2844,2047,2849,3184,3776,4224,6448,10564,12468
'2932,Heterocyclic compounds with oxygen hetero-atom[s] only,587,115,198,1364,404,555,339,314,277,682,1007,954
'2933,Heterocyclic compounds with nitrogen hetero-atom[s] only,14027,9531,9106,11754,10268,11839,8828,8351,9160,14975,20356,23614
'2934,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excluding ...",2133,2634,2196,3274,1990,3093,4595,2884,3588,2625,5744,3345
'2935,Sulphonamides,454,583,94,320,248,231,58,11,241,1910,658,270
'2936,"Provitamins and vitamins, natural or reproduced by synthesis, incl. natural concentrates, derivatives ...",1952,1578,2971,3436,2803,4511,8714,5885,7938,14594,10018,21708
'2937,"""Hormones, prostaglandins, thromboxanes and leukotrienes, natural or reproduced by synthesis; ...",1243,201,350,1020,115,318,198,173,99,176,288,336
'2938,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other ...",153,5,704,1407,609,1369,601,771,226,1501,1152,1183
'2939,"Vegetable alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and ...",44133,50779,45274,34552,48007,35749,19109,9545,12711,7207,2816,7876
'2940,"Sugars, chemically pure (excluding sucrose, lactose, maltose, glucose and fructose); sugar ...",5,28,57,7,60,62,120,162,303,320,1149,2354
'2941,Antibiotics,6106,5743,15726,9308,8324,5274,5731,6546,6676,3958,4566,9706
'2942,"Separate chemically defined organic compounds, n.e.s.",62,92,185,389,282,172,298,322,377,303,321,1902
'3001,"Dried glands and other organs for organo-therapeutic uses, whether or not powdered; extracts ...",584,685,474,800,676,73,550,463,744,211,5304,1539
'3002,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera ...",19635,36224,21796,133681,242480,185106,163702,393782,440325,652468,532389,556177
'3003,Medicaments consisting of two or more constituents mixed together for therapeutic or prophylactic ...,12612,6581,8965,6328,8898,8109,6904,9323,15375,15232,14367,16433
'3004,"""Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, ...",499520,581271,901750,847069,580770,588330,648503,702055,904907,1079974,1261878,1225516
'3005,"Wadding, gauze, bandages and the like, e.g. dressings, adhesive plasters, poultices, impregnated ...",23500,27060,34601,32761,27251,23864,23957,30831,30159,35421,37151,41980
'3006,Pharmaceutical preparations and products of subheadings 3006.10.10 to 3006.60.90,10946,9963,14001,17876,18072,21600,31695,36063,38917,42745,54156,57450
'3101,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers ...",1064,1287,1701,1795,1938,2734,3850,4117,4453,7706,6602,10243
'3102,"Mineral or chemical nitrogenous fertilisers (excluding those in pellet or similar forms, or ...",80705,48659,44680,67592,27383,13214,62410,105477,166715,135798,177440,526180
'3103,"Mineral or chemical phosphatic fertilisers (excluding those in tablets or similar forms, or ...",222,1806,4673,4255,586,94,415,13363,759,1261,4137,9086
'3104,"Mineral or chemical potassic fertilisers (excluding those in tablets or similar forms, or in ...",3642,2097,5676,2815,3763,8232,4360,2028,14591,8597,11251,22344
'3105,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, ...",114966,93548,103471,183020,100765,122544,92138,126415,159771,222252,274070,414717
'3201,"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives",844,1562,2000,2294,1953,1286,2393,2251,3002,2347,3686,4848
'3202,"Synthetic organic tanning substances; inorganic tanning substances; tanning preparations, whether ...",81718,71874,83227,85892,80438,69750,6594,7242,6409,4850,7305,11164
'3203,"Colouring matter of vegetable or animal origin, incl. dye extracts (excluding animal black), ...",636,724,728,2092,2285,2296,2276,2569,4263,7562,10131,12235
'3204,"Synthetic organic colouring matter, whether or not chemically defined; preparations based on ...",44629,52179,74726,83455,54175,57296,71126,91137,136733,130095,163240,186301
'3205,Colour lakes (other than Chinese or Japanese lacquer and paints); preparations based on colour ...,683,841,296,731,745,441,600,448,323,196,437,686
'3206,"Inorganic or mineral colouring matter, n.e.s.; preparations based on inorganic or mineral colouring ...",29661,31259,34406,38081,36114,37342,51630,60847,65094,66411,81050,100053
'3207,"Prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes, ...",42353,53864,66349,65105,57524,56647,65201,70294,71881,85092,110443,159381
'3208,"Paints and varnishes, incl. enamels and lacquers, based on synthetic polymers or chemically ...",118659,114687,129245,133188,125897,116952,118835,130218,124239,138959,177652,255518
'3209,"Paints and varnishes, incl. enamels and lacquers, based on synthetic polymers or chemically ...",93386,135810,122800,104288,79064,58653,58028,63254,66639,71106,79875,90903
'3210,"Paints and varnishes, incl. enamels, lacquers and distempers (excluding those based on synthetic ...",32510,35853,31325,34544,24666,21727,23929,20380,22105,17460,19350,26436
'3211,Prepared driers,10764,9771,9391,10653,9192,9309,9443,12200,12136,10709,14794,18229
'3212,"Pigments, incl. metallic powders and flakes, dispersed in non-aqueous media, in liquid or paste ...",4764,5664,6394,4366,3745,3158,3003,3963,4332,5158,7244,10933
'3213,"Artist's, student's or signboard painter's colours, modifying tints, amusement colours and ...",1779,1729,1990,2124,1738,1952,1738,2000,1810,2512,3391,3043
'3214,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' ...",119706,154146,173504,182406,163341,153204,160441,207067,228614,238963,323827,404787
'3215,"Printing ink, writing or drawing ink and other inks, whether or not concentrated or solid",29579,31278,32974,34883,39997,50101,44478,40693,52080,54660,69298,117012
'3301,"Essential oils, whether or not terpeneless, incl. concretes and absolutes; resinoids; extracted ...",22177,24794,25149,32244,33586,41292,49187,47481,40065,37894,37917,44419
'3302,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, based on one or ...",27767,37194,49108,70733,74476,84761,101633,125145,157909,169120,196146,249402
'3303,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",37758,43991,80215,77986,45689,47775,58686,60483,102518,117199,125145,137219
'3304,"Beauty or make-up preparations and preparations for the care of the skin, incl. sunscreen or ...",125085,130456,146488,161437,139314,158610,174849,169241,216940,214315,232799,264149
'3305,Preparations for use on the hair,118036,124808,173372,182332,152905,144391,155763,161252,182501,188476,234720,300943
'3306,"""Preparations for oral or dental hygiene, incl. denture fixative pastes and powders; yarn used ...",9194,11168,24516,30271,25080,23580,15846,8357,10086,12116,12219,16534
'3307,"Shaving preparations, incl. pre-shave and aftershave products, personal deodorants, bath and ...",218700,248797,307375,315717,224221,196036,206461,210961,218740,214149,272867,332156
'3401,"Soap; organic surface-active products and preparations for use as soap, in the form of bars, ...",401431,453445,479343,516278,389365,345804,357695,349972,367324,525841,422083,511387
'3402,"Organic surface-active agents (excluding soap); surface-active preparations, washing preparations, ...",274296,311237,370242,447845,404985,350413,350777,376402,410994,507714,479617,615476
'3403,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",20981,19251,29937,20136,17183,17498,19622,22929,22667,25014,29430,70831
'3404,Artificial waxes and prepared waxes,2299,4204,3182,4117,3022,3201,5462,7360,8024,7195,10041,16506
'3405,"Shoe polish, furniture wax and floor waxes, polishes and creams for coachwork, glass or metal, ...",64775,62609,61213,57903,50169,38885,39375,39687,54028,48201,57015,58049
'3406,"Candles, tapers and the like",3148,2769,2109,1156,1017,712,1009,797,1044,1345,3612,9146
'3407,"""Modelling pastes, incl. those put up for children's amusement; preparations known as """"dental ...",806,915,1222,1497,2400,2917,5878,6699,7050,9530,13872,14916
'3501,"Casein, caseinates and other casein derivatives; casein glues (excluding those packaged as ...",984,1163,1001,1090,881,638,581,601,708,922,702,1206
'3502,"Albumins, incl. concentrates of two or more whey proteins containing by weight > 80% whey proteins, ...",153,168,193,85,49,126,5,73,78,26,592,455
'3503,"Gelatin, whether or not in square or rectangular sheets, whether or not surface-worked or coloured, ...",4835,7271,7734,11957,20139,21531,26976,32258,41448,46038,70438,117034
'3504,"Peptones and their derivatives; other protein substances and their derivatives, n.e.s.; hide ...",274,366,1917,1040,21,109,40,19,773,1457,9902,30317
'3505,"Dextrins and other modified starches, e.g. pregelatinised or esterified starches; glues based ...",6261,7370,8318,9985,9210,8850,10320,11848,16774,21068,30947,49773
'3506,"Prepared glues and other prepared adhesives, n.e.s.; products suitable for use as glues or ...",105808,147353,155987,135939,121003,121004,122030,111464,135433,135940,183900,245084
'3507,"Enzymes; prepared enzymes, n.e.s.",17255,19752,23928,24186,24226,30234,36437,35598,40143,45543,44221,51130
'3601,Propellent powders,243,1599,2825,2944,4491,4278,2780,743,1316,540,1333,1014
'3602,Prepared explosives (excluding propellent powders),5376,5154,6358,8399,9008,7248,8062,6650,4080,5084,6016,15246
'3603,Safety fuses; detonating fuses; percussion or detonating caps; igniters; electric detonators ...,5903,10172,8484,11343,10850,9940,5924,3917,8686,6330,8746,18002
'3604,"Fireworks, signalling flares, rain rockets, fog signals and other pyrotechnic articles (excluding ...",405,462,76,116,172,279,133,78,131,67,1127,1185
'3605,Matches (excluding pyrotechnic articles of heading 3604),1718,1498,2053,1605,1260,1026,1006,1088,1074,695,1070,1951
'3606,"Ferro-cerium and other pyrophoric alloys in all forms; metaldehyde, hexamethylenetetramine ...",4661,4689,13958,13482,4483,4329,6638,6094,11757,10285,11714,19217
'3701,"Photographic plates and film in the flat, sensitised, unexposed, of any material other than ...",6151,9878,15912,10837,6927,5569,7735,6942,11255,9394,9921,12947
'3702,"Photographic film in rolls, sensitised, unexposed, of any material other than paper, paperboard ...",1120,1321,4355,4418,335,657,603,620,1741,1712,2458,2247
'3703,"Photographic paper, paperboard and textiles, sensitised, unexposed",641,720,1026,512,434,458,402,366,2273,444,746,1251
'3704,"Photographic plates, film, paper, paperboard and textiles, exposed but not developed",85,78,64,41,76,44,108,142,112,2,26,18
'3705,"Photographic plates and film, exposed and developed (excluding products made of paper, paperboard ...",218,103,160,131,112,18,14,35,47,8,8,1
'3706,"Cinematographic film, exposed and developed, whether or not incorporating soundtrack or consisting ...",397,248,107,3,9,0,250,0,7,0,408,80
'3707,"Chemical preparations for photographic uses (excluding varnishes, glues, adhesives and similar ...",9034,13088,12301,8332,4630,4734,4569,3405,4216,2719,2537,3505
'3801,Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or ...,789,747,1191,945,970,1077,1553,2458,1393,953,1249,1979
'3802,"Activated carbon; activated natural mineral products; animal black, whether or not spent",4432,5145,4443,9273,8617,7463,9832,8114,11774,15973,25027,44383
'3803,"Tall oil, whether or not refined",118,39,21,111,181,206,442,696,836,498,645,880
'3804,"""Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or ...",423,837,701,830,484,152,290,176,498,431,751,1791
'3805,"Gum, wood or sulphate turpentine and other terpenic oils produced by the distillation or other ...",122,206,137,167,304,545,447,503,2285,407,924,957
'3806,"Rosin, resin acids and derivatives thereof; rosin spirit and rosin oils; run gums",2951,2823,2815,2045,2238,1911,2772,2931,4031,3339,3669,8665
'3807,Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewer's pitch and similar ...,239,508,612,112,160,57,23,116,110,243,203,748
'3808,"Insecticides, rodenticides, fungicides, herbicides, anti-sprouting products and plant-growth ...",72009,75946,83192,94272,94797,88959,93392,104137,150121,375591,176248,186075
'3809,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs and other products ...",33875,40772,45651,48563,52844,56505,60799,74240,77615,83889,114841,127230
'3810,"Pickling preparations for metal surfaces; fluxes and other auxiliary preparations for soldering, ...",2355,6744,5696,5764,6996,5674,6315,7625,8430,7923,10552,14288
'3811,"Anti-knock preparations, oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive ...",4182,7197,4896,3019,1802,1486,1979,1749,8764,9707,4459,12649
'3812,"Prepared rubber accelerators; compound plasticisers for rubber or plastics, n.e.s.; anti-oxidising ...",65992,76664,79161,77490,68007,79193,90112,102836,107529,108569,122343,140835
'3813,Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excluding ...,497,765,1272,1402,546,579,685,1812,1089,859,1391,1513
'3814,"Organic composite solvents and thinners, n.e.s.; prepared paint or varnish removers (excluding ...",17420,18200,17923,16855,13603,11774,11965,12422,13113,14053,19535,32680
'3815,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...",4634,5148,19810,16448,4018,19294,5504,7572,8938,43207,61162,30991
'3816,"Refractory cements, mortars, concretes and similar compositions (excluding preparations based ...",62862,61879,71785,81009,58576,60980,64356,76461,63656,66083,78144,91478
'3817,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,156,177,58,223,165,83,74,125,82,105,49,3597
'3818,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",13,9,9,23,27,65,179,586,30,9,259,493
'3819,Hydraulic brake fluids and other prepared liquids for hydraulic transmission not containing ...,2365,2410,2841,2419,2745,2568,3418,3919,4222,3548,3646,8993
'3820,Anti-freezing preparations and prepared de-icing fluids (excluding prepared additives for mineral ...,8992,10320,11243,11903,8055,5531,6174,5026,6261,6049,7069,12289
'3821,"""Prepared culture media for the development or maintenance of micro-organisms """"incl. viruses ...",586,881,882,1609,1663,1020,981,2755,2075,9291,10163,8255
'3822,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",17367,19042,26686,28975,29556,26540,29184,38583,47370,149127,236894,179020
'3823,Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols,17411,12784,17625,16861,17900,13119,9401,8323,5179,10070,51661,93838
'3824,Prepared binders for foundry moulds or cores; chemical products and preparations for the chemical ...,131713,147543,159071,176995,171875,177717,175769,222321,236188,229822,271120,361800
'3825,"Residual products of the chemical or allied industries, n.e.s.; municipal waste; sewage sludge; ...",135,71,273,35,66,114,18,29,33,67,74,46
'3826,"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ...",0,25,67996,254,200,232,656,446,3045,17677,19519,16587
'3827,"Mixtures containing halogenated derivatives of methane, ethane or propane, n.e.s.",0,0,0,0,0,0,0,0,0,0,0,29140
'3901,"Polymers of ethylene, in primary forms",150921,171147,125896,138108,52327,35051,32298,52440,93952,73920,224490,353606
'3902,"Polymers of propylene or of other olefins, in primary forms",38925,37610,26305,31001,38868,32370,34880,38320,37645,35616,150543,163177
'3903,"Polymers of styrene, in primary forms",17937,60551,48789,50388,41575,30176,43080,80538,132944,131488,351892,399133
'3904,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms",37382,29751,28372,30126,20403,21302,21465,25788,35062,31839,63902,145861
'3905,"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers, ...",19483,22853,30367,35086,41933,41560,41696,51480,55788,51175,80408,81623
'3906,"Acrylic polymers, in primary forms",179990,194947,211756,228020,198768,185564,207975,240961,257409,251712,450132,510322
'3907,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, ...",269674,280148,366441,422212,330269,321946,397819,439803,604156,569943,1046283,1371001
'3908,"Polyamides, in primary forms",18934,22204,37938,48931,26061,23945,30072,42032,83714,70166,125909,159286
'3909,"Amino-resins, phenolic resins and polyurethanes, in primary forms",73657,73413,89123,98577,90686,85838,120322,137896,154943,163267,249480,330608
'3910,Silicones in primary forms,11873,14784,17391,19347,20188,21688,19620,22973,24698,21486,26293,45331
'3911,"Petroleum resins, coumarone-indene resins, polyterpenes, polysulphides, polysulphones and other ...",1136,1678,2032,2765,2065,2398,3790,5441,6856,7705,7669,16096
'3912,"Cellulose and its chemical derivatives, n.e.s., in primary forms",45435,47107,56036,55678,51783,42956,47192,65293,71821,59030,81857,133744
'3913,"Natural polymers, e.g. alginic acid, and modified natural polymers, e.g. hardened proteins, ...",645,945,2175,2123,1186,960,986,1023,1057,1026,2024,4087
'3914,"Ion-exchangers based on polymers of heading 3901 to 3913, in primary forms",502,260,246,239,491,515,575,332,744,610,3032,2487
'3915,"Waste, parings and scrap, of plastics",27914,19801,23224,17317,16057,12582,16589,17308,10336,10457,12644,19924
'3916,"Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, ...",295648,354650,412780,413138,296430,250470,269246,295768,328732,340118,445837,461679
'3917,"Tubes, pipes and hoses, and fittings therefor, e.g. joints, elbows, flanges, of plastics",745337,842550,897312,924776,707964,552555,522729,551232,608687,613645,767600,808934
'3918,"Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles; ...",38037,38761,41858,39327,29613,25657,26893,24652,33731,49422,70368,99616
'3919,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",97905,106721,136518,145377,115258,113323,99020,97410,100259,104740,134096,168796
'3920,"Plates, sheets, film, foil and strip, of non-cellular plastics, not reinforced, laminated, ...",733460,756172,1023370,1104517,914227,923189,975757,1096888,1305715,1412401,1835950,2075666
'3921,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",268435,320251,336930,405885,385556,401856,415838,438415,443120,479980,645235,716837
'3922,"Baths, shower-baths, sinks, washbasins, bidets, lavatory pans, seats and covers, flushing cisterns ...",82508,90846,111396,129816,107214,100030,104231,113117,113327,119395,164080,183315
'3923,"Articles for the conveyance or packaging of goods, of plastics; stoppers, lids, caps and other ...",650948,661965,770804,827572,808987,809140,889427,1009116,1033430,1041803,1264075,1386776
'3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics (excluding ...",221995,260866,324325,397880,345793,355905,398691,437416,447848,473476,619662,664122
'3925,"Builders' ware of plastics, n.e.s.",287875,302694,323090,327565,264377,217283,218654,242228,259798,277369,392127,438751
'3926,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s.",263704,300226,324894,381431,350673,359192,417594,415237,417375,481130,568946,606253
'4001,"Natural rubber, balata, gutta-percha, guayule, chicle and similar natural gums, in primary ...",2477,2238,4994,2333,1664,2427,992,1052,1719,2430,6467,3323
'4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; ...",55722,50430,52106,50174,33748,34590,43458,46399,45033,65960,75477,160383
'4003,"Reclaimed rubber in primary forms or in plates, sheets or strip",883,190,786,266,285,188,156,320,285,211,298,334
'4004,"Waste, parings and scrap of soft rubber and powders and granules obtained therefrom",1287,1177,3010,2573,1098,590,650,1353,1046,935,946,1531
'4005,"Compounded rubber, unvulcanised, in primary forms or in plates, sheets or strip (excluding ...",66782,78970,91977,102616,76097,75529,84623,91946,79152,65538,93917,102534
'4006,"Rods, bars, tubes, profiles and other forms of unvulcanised rubber, incl. mixed rubber, and ...",10952,8390,8783,8311,8656,8959,7756,8391,7771,4528,6412,6295
'4007,Vulcanised rubber thread and cord (excluding ungimped single thread with a diameter of > 5 ...,2697,2292,1800,1436,1381,1796,2680,2904,3621,3061,5174,4905
'4008,"Plates, sheets, strip, rods and profile shapes, of vulcanised rubber (excluding hard rubber)",34943,40937,50060,53706,38916,41046,42870,47877,50371,54698,72230,74521
'4009,"Tubes, pipes and hoses, of vulcanised rubber other than hard rubber, with or without their ...",419467,389031,396250,432772,344828,345389,417466,506306,440558,397348,556537,594870
'4010,"Conveyor or transmission belts or belting, of vulcanised rubber",34993,44240,49548,59038,44553,43860,53620,61004,59783,62086,75989,98427
'4011,"New pneumatic tyres, of rubber",1373786,1229115,1171239,1169525,979172,991350,1147985,1379376,1532264,1295687,1699313,1848985
'4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, ...",7383,9161,8621,7183,5383,6191,11575,6439,5966,3193,5116,7756
'4013,"Inner tubes, of rubber",1565,1499,2268,3187,2853,3575,2684,1809,2628,3227,3774,3024
'4014,"Hygienic or pharmaceutical articles, incl. teats, of vulcanised rubber (excluding hard rubber), ...",2239,2195,2365,2529,2160,2008,1671,1971,2031,2043,971,1022
'4015,"Articles of apparel and clothing accessories, incl. gloves, mittens and mitts, for all purposes, ...",4792,7115,6999,6630,4363,4600,5828,11222,6043,61431,88021,28852
'4016,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",566450,553121,677755,759703,613014,634839,665280,649958,663164,629893,759321,763063
'4017,"Hard rubber, e.g. ebonite, in all forms, incl. waste and scrap; articles of hard rubber, n.e.s.",6605,4769,7198,8645,7355,6226,4997,3961,4000,3910,5110,8260
'4101,"""Raw hides and skins of bovine """"incl. buffalo"""" or equine animals, fresh, or salted, dried, ...",499,442,139,173,372,265,581,444,420,311,317,1250
'4102,"Raw skins of sheep or lambs, fresh, or salted, dried, limed, pickled or otherwise preserved, ...",2996,2381,5116,3711,1278,959,1926,953,3319,1900,6678,9505
'4103,"Other raw hides and skins, fresh, or salted, dried, limed, pickled or otherwise preserved, ...",30,49,77,78,51,88,20,5,295,142,131,53
'4104,"""Tanned or crust hides and skins of bovine """"incl. buffalo"""" or equine animals, without hair ...",28294,26806,32279,48827,33690,37029,52485,50930,50583,32332,70290,54755
'4105,"Tanned or crust skins of sheep or lambs, without wool on, whether or not split (excluding further ...",3395,2458,11942,7098,3596,6871,5506,2804,13711,9117,9630,10656
'4106,"Tanned or crust hides and skins of goats or kids, pigs, reptiles and other animals, without ...",885,309,1365,1355,491,2339,2957,2790,4032,1569,2023,2375
'4107,"""Leather further prepared after tanning or crusting """"incl. parchment-dressed leather"""", of ...",64349,74071,95334,104489,80078,80287,93626,101432,100381,64962,99173,96001
'4112,"""Leather further prepared after tanning or crusting """"incl. parchment-dressed leather"""", of ...",32606,46255,61681,65997,57175,51931,49617,47420,54661,38428,56803,77478
'4113,"""Leather further prepared after tanning or crusting """"incl. parchment-dressed leather"""", of ...",3318,4817,6891,4476,1455,1651,1605,1066,1964,2021,1739,1559
'4114,"Chamois leather, incl. combination chamois leather (excluding glacé-tanned leather subsequently ...",138,494,3606,3777,29,14,78,398,3087,4053,4493,3649
'4115,"Composition leather with a basis of leather or leather fibre, in slabs, sheets or strip, whether ...",2099,3236,3971,3911,2919,2789,1613,1958,1648,1148,1846,2831
'4201,"Saddlery and harness for any animal, incl. traces, leads, knee pads, muzzles, saddle cloths, ...",1405,710,902,497,423,518,500,631,1324,2028,3679,4334
'4202,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels, spectacle cases, ...",186314,197099,204988,210251,154968,131163,143522,170690,193851,154223,246419,324396
'4203,"Articles of apparel and clothing accessories, of leather or composition leather (excluding ...",222736,200600,218951,217105,156081,149160,148326,141745,140729,113934,141620,164360
'4205,Articles of leather or composition leather (excluding saddlery and harness bags; cases and ...,9441,11963,11935,17193,12008,13965,10747,9872,15342,14646,21637,20218
'4206,"Articles of gut, goldbeater's skin, bladders or tendons (excluding silkworm gut, sterile catgut, ...",0,0,1,0,0,0,9,0,0,0,0,0
'4301,"Raw furskins, incl. heads, tails, paws and other pieces or cuttings suitable for use in furriery ...",14,54,269,380,165,12,44,21,379,117,21,4076
'4302,"Tanned or dressed furskins, incl. heads, tails, paws and other pieces, scraps and remnants, ...",76966,84565,108134,92974,59287,44969,54919,58308,58378,33725,51669,52101
'4303,"Articles of apparel, clothing accessories and other furskin articles (excluding gloves made ...",184899,189198,181617,148380,76763,78344,100581,115289,102172,67750,100848,106612
'4304,"Artificial fur and articles thereof (excluding gloves made of leather and artificial fur, footware ...",24,119,200,397,470,425,358,332,843,232,418,310
'4401,"Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chips or particles; sawdust ...",120,117,218,1560,557,671,880,2143,2675,2633,4642,36442
'4402,"Wood charcoal, incl. shell or nut charcoal, whether or not agglomerated (excluding wood charcoal ...",92,57,421,742,526,819,2727,3097,5472,7447,12377,14638
'4403,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared (excluding ...",1732,3604,3089,2837,2772,2610,3068,7227,9163,8271,10185,7419
'4404,"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ...",231,272,63,83,295,53,63,100,42,104,172,254
'4405,"""Wood wool; wood flour """"wood powder able to pass through a fine"""", 0,63 mm mesh, sieve with ...",3,47,25,152,7,18,0,0,3,2,26,33
'4406,"""Railway or tramway sleepers """"cross-ties"""" of wood""",620,398,70,235,269,117,2,142,42,198,138,123
'4407,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, ...",14078,12588,12186,11195,10087,10461,11316,15928,35154,46072,84618,74001
'4408,"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other ...",25185,27781,23402,26134,25885,25915,29372,30592,28451,29030,41461,60614
'4409,"""Wood, incl. strips and friezes for parquet flooring, not assembled, continuously shaped """"tongued, ...",20749,20850,14509,14847,13545,8256,9940,8431,12441,10602,16719,24546
'4410,"""Particle board, oriented strand board """"OSB"""" and similar board """"e.g. waferboard"""" of wood ...",76207,73667,77932,105780,80627,107996,138397,179843,167937,158822,240409,288514
'4411,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...",286848,294229,280263,313598,276231,263524,346959,353122,377096,488998,738031,834355
'4412,"Plywood, veneered panel and similar laminated wood (excluding sheets of compressed wood, cellular ...",14401,14051,18381,18830,14172,13538,15488,12812,27043,20681,43485,96626
'4413,"Metallised wood and other densified wood in blocks, plates, strips or profile shapes",33633,18515,27975,35988,36162,39274,1895,1816,1470,1641,2077,4157
