Product code,Product label,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
'0702,"Tomatoes, fresh or chilled",432462,400691,391218,426491,365226,239880,290138,289827,303057,312031,360489,373595
'0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled",27479,25396,36144,39321,21096,15157,44399,18835,59488,57561,58927,34729
'0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled",3532,2462,2541,3415,4292,3448,5178,5051,5405,5841,12337,9919
'0705,"""Lettuce """"Lactuca sativa"""" and chicory """"Cichorium spp."""", fresh or chilled""",732,751,450,4563,4248,1461,2633,3038,2796,1101,3742,2637
'0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ...",12611,10107,9477,6265,7495,11262,9697,14756,14416,17284,22758,21355
'0707,"Cucumbers and gherkins, fresh or chilled",59176,67060,63956,77098,47887,28175,33825,41055,36774,50573,67506,71393
'0708,"Leguminous vegetables, shelled or unshelled, fresh or chilled",1283,1415,1775,2224,1341,1457,1610,1574,1404,2187,2795,1896
'0709,"""Other vegetables, fresh or chilled (excluding potatoes, tomatoes, alliaceous vegetables, edible ...",123804,121545,139082,141844,135875,144529,151018,187666,196427,231894,298089,303816
'0710,"Vegetables, uncooked or cooked by steaming or boiling in water, frozen",53812,40470,52144,54177,55149,60393,62351,80308,71272,71821,109230,112191
'0711,"Vegetables provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water ...",11599,9462,9926,7557,5402,4495,5701,5675,5091,4327,8484,9055
'0712,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared",72267,66600,79425,74812,72165,69445,68826,67828,69656,64091,69658,72212
'0713,"Dried leguminous vegetables, shelled, whether or not skinned or split",254241,209380,372850,494588,318803,339368,298818,343791,463479,591594,690697,1076850
'0714,"Roots and tubers of manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar ...",41,137,190,6,9,16,11,16,14,13,109,330
'0801,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",201,236,1700,6466,296,396,435,377,8845,14945,23831,28694
'0802,"Other nuts, fresh or dried, whether or not shelled or peeled (excluding coconuts, Brazil nuts ...",1198792,1254255,1343679,1738961,1871646,1374958,1295574,1183912,1684819,1541917,1811131,1535400
'0803,"Bananas, incl. plantains, fresh or dried",15,39,145460,165071,40,11,10,34,139863,100844,90567,2521
'0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried",185142,201103,249071,289037,260815,259085,306816,300637,304559,322015,374329,347115
'0805,"Citrus fruit, fresh or dried",1065177,897411,932886,931611,829924,894107,852884,889970,752364,940974,933720,900575
'0806,"Grapes, fresh or dried",681781,682784,696175,707159,570408,530689,603603,611294,724265,671913,683787,654788
'0807,"Melons, incl. watermelons, and papaws (papayas), fresh",14163,9726,10568,14841,16957,15714,12112,23054,18141,28571,32270,51838
'0808,"Apples, pears and quinces, fresh",49616,47436,70764,64475,69419,58050,93307,129750,126494,168595,247887,228774
'0809,"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh",189252,242077,240000,219326,216565,247478,296914,311983,328758,463352,441780,440701
'0810,"""Fresh strawberries, raspberries, blackberries, back, white or red currants, gooseberries and ...",91123,94208,137142,126323,119064,112243,110732,142888,127074,156199,193160,162601
'0811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not ...",43005,48227,61093,71009,61251,56864,67368,75292,72277,111462,134896,123336
'0812,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",10487,12587,12066,8431,10178,10876,5874,7197,8044,7197,8416,7506
'0813,"""Dried apricots, prunes, apples, peaches, pears, papaws """"papayas"""", tamarinds and other edible ...",378763,315020,342123,386077,327501,311472,291669,280929,291200,300048,389216,457322
'0814,"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved ...",1362,1309,1032,1697,1379,1929,2711,3289,3215,2394,2623,2521
'0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes ...",4656,6214,9283,13846,7162,9225,10704,12082,19877,30342,35122,65147
'0902,"Tea, whether or not flavoured",10367,12201,19285,21390,23614,28585,24966,13090,16110,17835,21723,24751
'0903,Mate,0,0,1,0,0,7,245,16,53,157,16,4
'0904,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the ...,4391,4712,9917,11437,7311,7887,9097,8896,14125,17782,21091,22725
'0905,Vanilla,709,799,1164,924,257,315,213,396,1264,1404,1166,1070
'0906,Cinnamon and cinnamon-tree flowers,68,99,422,521,164,203,189,265,733,1552,2441,2961
'0907,"Cloves, whole fruit, cloves and stems",38,84,182,218,110,151,172,104,535,665,1050,939
'0908,"Nutmeg, mace and cardamoms",71,68,149,315,119,91,109,144,1395,3517,2111,3223
'0909,"Seeds of anis, badian, fennel, coriander, cumin or caraway; juniper berries",26944,16683,41190,43607,23031,35813,22987,31994,39357,47791,46709,38162
